Player,Team,Salary
"Anderson, Jason",New York Yankees,300000.0
"Callaway, Mickey",Anaheim Angels,302500.0
"Ramirez, Julio",Anaheim Angels,300000.0
"Shields, Scot",Anaheim Angels,305000.0
"Wise, Matt",Anaheim Angels,302500.0
"Gonzalez, Dicky",Boston Red Sox,300000.0
"Lyon, Brandon",Boston Red Sox,309500.0
"Person, Robert",Boston Red Sox,300000.0
"White, Matt",Boston Red Sox,300000.0
"Bard, Josh",Cleveland Indians,302100.0
"Broussard, Benjamin",Cleveland Indians,303000.0
"Davis, Jason",Cleveland Indians,301100.0
"Hafner, Travis",Cleveland Indians,302200.0
"Lee, Cliff",Cleveland Indians,300900.0
"Myette, Aaron",Cleveland Indians,307500.0
"Phillips, Brandon",Cleveland Indians,300900.0
"Rodriguez, Ricardo",Cleveland Indians,302400.0
"Sadler, Carl",Cleveland Indians,303200.0
"Traber, Billy",Cleveland Indians,300000.0
"Westbrook, Jake",Cleveland Indians,305500.0
"Hendrickson, Mark",Toronto Blue Jays ,302000.0
"Lopez, Aquilino",Toronto Blue Jays ,300000.0
"Miller, Trever",Toronto Blue Jays ,305000.0
"Werth, Jayson",Toronto Blue Jays ,300000.0
"Bedard, Erik",Baltimore Orioles,300000.0
"Leon, Jose",Baltimore Orioles,305000.0
"Morban, Jose",Baltimore Orioles,300000.0
"Abernathy, Brent",Tampa Bay Devil Rays,300000.0
"Baldelli, Rocco",Tampa Bay Devil Rays,300000.0
"Bierbrodt, Nick",Tampa Bay Devil Rays,300000.0
"Carter, Lance",Tampa Bay Devil Rays,300000.0
"Colome, Jesus",Tampa Bay Devil Rays,300000.0
"Crawford, Carl",Tampa Bay Devil Rays,300000.0
"Hall, Toby",Tampa Bay Devil Rays,300000.0
"Kennedy, Joe",Tampa Bay Devil Rays,300000.0
"Martin, Al",Tampa Bay Devil Rays,300000.0
"McClung, Seth",Tampa Bay Devil Rays,300000.0
"Rolls, Damian",Tampa Bay Devil Rays,300000.0
"Seay, Bobby",Tampa Bay Devil Rays,300000.0
"Shumpert, Terry",Tampa Bay Devil Rays,300000.0
"Sosa, Jorge",Tampa Bay Devil Rays,300000.0
"Valentin, Javier",Tampa Bay Devil Rays,300000.0
"Venafro, Mike",Tampa Bay Devil Rays,300000.0
"Zambrano, Victor",Tampa Bay Devil Rays,300000.0
"Berger, Grandon",Kansas City Royals,304000.0
"Berroa, Angel",Kansas City Royals,302000.0
"Brown, Dermal",Kansas City Royals,309500.0
"Bukvich, Ryan",Kansas City Royals,304500.0
"Carrasco, DJ",Kansas City Royals,300000.0
"George, Chris",Kansas City Royals,303500.0
"Harvey, Ken",Kansas City Royals,300000.0
"Hernandez, Runelvys",Kansas City Royals,305500.0
"Johnson, Rontrez",Kansas City Royals,300000.0
"Lopez, Mendy",Kansas City Royals,300000.0
"MacDougal, Mike",Kansas City Royals,301000.0
"Cuddyer, Michael",Minnesota Twins,302500.0
"Olivo, Miguel",Chicago White Sox,300000.0
"Stewart, Josh",Chicago White Sox,300000.0
"Bonderman, Jeremy",Detroit Tigers,300000.0
"Cornejo, Nate",Detroit Tigers,303000.0
"German, Franklyn",Detroit Tigers,300000.0
"Infante, Omar",Detroit Tigers,300000.0
"Knotts, Gary",Detroit Tigers,305000.0
"Ledezma, Wilfredo",Detroit Tigers,300000.0
"Maroth, Mike",Detroit Tigers,309000.0
"Roney, Matt",Detroit Tigers,300000.0
"Santiago, Ramon",Detroit Tigers,307000.0
"Spurling, Chris",Detroit Tigers,305000.0
"Bloomquist, Willie",Seattle Mariners,300000.0
"Mateo, Julio",Seattle Mariners,302500.0
"Snelling, Chris",Seattle Mariners,300000.0
"Bowie, Micah",Oakland Athletics,304000.0
"Byrnes, Eric",Oakland Athletics,300000.0
"Ellis, Mark",Oakland Athletics,307500.0
"Neu, Mike",Oakland Athletics,300000.0
"Blalock, Hank",Texas Rangers,302500.0
"Clark, Jermaine",Texas Rangers,300000.0
"Garcia, Reynaldo",Texas Rangers,300000.0
"Lewis, Colby",Texas Rangers,302500.0
